Rank,AC Name,Rating,Price,Product Link,Start Time,End Time
1,"Daikin 1.5 Ton 3 Star Inverter Split AC (Copper, PM 2.5 Filter, Triple Display, Dew Clean Technology, Coanda Airflow, 2024 Mo",3.9 out of 5 stars,"₹36,990.00",https://www.amazon.in/Daikin-Inverter-Display-Technology-MTKL50U/dp/B0BK1KS6ZD/ref=zg_bs_g_3474656031_d_sccl_1/258-6407447-4066664?psc=1,2025-08-05 21:08:19,2025-08-05 21:08:19
2,"LG 1.5 Ton 5 Star DUAL Inverter Split AC (Copper, AI Convertible 6-in-1, VIRAAT Mode, Faster Cooling & Energy Saving, 4 Way S",4.0 out of 5 stars,"₹44,989.00",https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-US-Q19YNZE/dp/B0DRG7M72Z/ref=zg_bs_g_3474656031_d_sccl_2/258-6407447-4066664?psc=1,2025-08-05 21:08:19,2025-08-05 21:08:19
3,"Carrier 1.5 Ton 3 Star Wi-Fi Smart Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Smart Energy Display, HD &",4.0 out of 5 stars,"₹35,988.00",https://www.amazon.in/Carrier-Flexicool-Inverter-Convertible-CAI18EE3R35W0/dp/B0DSWR3DJ3/ref=zg_bs_g_3474656031_d_sccl_3/258-6407447-4066664?psc=1,2025-08-05 21:08:19,2025-08-05 21:08:19
4,"LG 1 Ton 4 Star DUAL Inverter Split AC (Copper, AI Convertible 6-in-1 with VIRAAT Mode, Faster Cooling & Energy Saving, 4 Way",4.0 out of 5 stars,"₹34,990.00",https://www.amazon.in/LG-Convertible-AntiVirus-Protection-US-Q13JNYE/dp/B0DQQ55C8M/ref=zg_bs_g_3474656031_d_sccl_4/258-6407447-4066664?psc=1,2025-08-05 21:08:19,2025-08-05 21:08:19
5,"LG 1.5 Ton 3 Star DUAL Inverter Split AC (Copper, AI Convertible 6-in-1, VIRAAT Mode, Diet Mode+, Faster Cooling & Energy Sav",3.8 out of 5 stars,"₹35,990.00",https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-US-Q18JNXE/dp/B0DQQ4XDBB/ref=zg_bs_g_3474656031_d_sccl_5/258-6407447-4066664?psc=1,2025-08-05 21:08:19,2025-08-05 21:08:19
6,"Lloyd 1.5 Ton 3 Star Inverter Split AC (5 in 1 Convertible, Copper, Anti-Viral + PM 2.5 Filter, White with Chrome Deco Strip,",4.0 out of 5 stars,"₹32,990.00",https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS18I3FWAGC/dp/B0CCY3HLCV/ref=zg_bs_g_3474656031_d_sccl_6/258-6407447-4066664?psc=1,2025-08-05 21:08:19,2025-08-05 21:08:19
7,"Panasonic 1.5 Ton 5 Star Premium Wi-Fi Inverter Smart Split AC (Matter Enabled, Higher Airflow, Copper Condenser, 7in1 Conver",4.0 out of 5 stars,"₹43,990.00",https://www.amazon.in/Panasonic-Condenser-Convertible-CS-CU-NU18AKY5WX/dp/B0DSVRY811/ref=zg_bs_g_3474656031_d_sccl_7/258-6407447-4066664?psc=1,2025-08-05 21:08:19,2025-08-05 21:08:19
8,"Daikin 0.8 Ton 3 Star, Fixed Speed Split AC (Copper, PM 2.5 Filter, 2022 Model, FTL28U, White)",4.0 out of 5 stars,"₹26,489.00",https://www.amazon.in/Daikin-Fixed-Copper-Filter-FTL28U/dp/B09R4SF5SP/ref=zg_bs_g_3474656031_d_sccl_8/258-6407447-4066664?psc=1,2025-08-05 21:08:19,2025-08-05 21:08:19
9,"Carrier 1.5 Ton 5 Star Wi-Fi Smart Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Smart Energy Display,HD &",4.1 out of 5 stars,"₹42,988.00",https://www.amazon.in/Carrier-Flexicool-Inverter-Convertible-CAI19EE5R35W0/dp/B0DSXJFF5H/ref=zg_bs_g_3474656031_d_sccl_9/258-6407447-4066664?psc=1,2025-08-05 21:08:19,2025-08-05 21:08:19
10,"Blue Star 1.5 Ton 5 Star Wi-Fi Smart Inverter Split AC (Copper, Convertible 5 in 1 Cooling, AI Pro, DigiQ Hepta Sensors, 4 Wa",3.8 out of 5 stars,"₹43,490.00",https://www.amazon.in/Blue-Star-Warranty-Convertible-IC518ZNURS/dp/B0DP5N2VTR/ref=zg_bs_g_3474656031_d_sccl_10/258-6407447-4066664?psc=1,2025-08-05 21:08:19,2025-08-05 21:08:19
