Rank,Microwave Name,Rating,Price,Product Link,Start Time,End Time
1,"Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)",4.3 out of 5 stars,"₹6,240.00",https://www.amazon.in/Panasonic-Microwave-NN-ST26JMFDG-Silver-Menus/dp/B08CL8XF75/ref=zg_bs_g_1380072031_d_sccl_1/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
2,"IFB 24L Solo Microwave Oven (24PM2S, Multi Stage Cooking with 69 Indian & Continental Auto Cook Menus, Child-lock Protection,",4.2 out of 5 stars,"₹6,790.00",https://www.amazon.in/IFB-Microwave-24PM2S-Continental-Recipes/dp/B0CGN8FMJ8/ref=zg_bs_g_1380072031_d_sccl_2/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
3,"IFB 30 L Convection Microwave Oven (30BRC2, Black) Standard",4.3 out of 5 stars,"₹14,490.00",https://www.amazon.in/IFB-Convection-Microwave-30BRC2-Black/dp/B016ZLKJSU/ref=zg_bs_g_1380072031_d_sccl_3/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
4,"Samsung 28L, Convection Microwave Oven with Curd Making(MC28A5013AK/TL, Black, 10 Yr warranty)",4.1 out of 5 stars,"₹12,490.00",https://www.amazon.in/Samsung-Convection-Microwave-MC28A5013AK-TL/dp/B09XBMXQ34/ref=zg_bs_g_1380072031_d_sccl_4/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
5,"LG 20 L Solo Microwave Oven (MS2043BP, Black, Health plus Menu, I-Wave Technology, Indian Cuisine, Even Reheat & Defrost, Aut",4.2 out of 5 stars,"₹6,490.00",https://www.amazon.in/LG-Microwave-MS2043BP-Black-Starter/dp/B07MC84QPL/ref=zg_bs_g_1380072031_d_sccl_5/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
6,"LG 28 L Convection Microwave Combination OvenOven (MC2846BV, Black, Auto Cook, Defrost, Indian Cuisine, Tandoor Se, Child Loc",4.3 out of 5 stars,"₹12,790.00",https://www.amazon.in/LG-Convection-Microwave-MC2846BV-Black/dp/B06XKC8S71/ref=zg_bs_g_1380072031_d_sccl_6/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
7,"Midea 20L Solo Microwave Oven (MMO20CXAMMPEBK, Black, 5 power levels & Defrost function)",4.4 out of 5 stars,"₹4,690.00",https://www.amazon.in/Midea-Microwave-MMO20CXAMMPEBK-Defrost-function/dp/B0DSBJ8ZW4/ref=zg_bs_g_1380072031_d_sccl_7/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
8,"Panasonic 20L Solo Microwave Oven (NN-SM25JBFDG,Black)",4.3 out of 5 stars,"₹5,740.00",https://www.amazon.in/Panasonic-Solo-Microwave-NN-SM25JBFDG-Black/dp/B08DYCWC9R/ref=zg_bs_g_1380072031_d_sccl_8/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
9,"Haier 19 L Inverter Technology, Light Weight, Defrost, 5 Power Levels Solo Microwave Oven (HIL1901MBPB, Black)",4.1 out of 5 stars,"₹4,990.00",https://www.amazon.in/Haier-Solo-Microwave-HIL1901MBPB-BLACK/dp/B0CT59YVZ3/ref=zg_bs_g_1380072031_d_sccl_9/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
10,"Panasonic 23L Convection Microwave Oven(NN-CT353BFDG,Black Mirror, 360° Heat Wrap, Magic Grill)",4.4 out of 5 stars,"₹10,390.00",https://www.amazon.in/Panasonic-Convection-Microwave-NN-CT353BFDG-Mirror/dp/B00KPSSPZY/ref=zg_bs_g_1380072031_d_sccl_10/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
11,"Samsung 23 L Grill Microwave Oven (MG23A3515AK/TL, Black, Various Auto Cook Programs, Keep Warm, Quick Defrost, LED Display,",4.2 out of 5 stars,"₹8,235.00",https://www.amazon.in/Samsung-Grill-Microwave-MG23A3515AK-TL/dp/B09PF1TK41/ref=zg_bs_g_1380072031_d_sccl_11/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
12,"Panasonic 27L Convection Microwave Oven(NN-CT645BFDG,,Black Mirror, 360° Heat Wrap, Magic Grill)",4.3 out of 5 stars,"₹11,890.00",https://www.amazon.in/Panasonic-Convection-Microwave-NN-CT645BFDG-Black/dp/B016D4KCA4/ref=zg_bs_g_1380072031_d_sccl_12/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
13,"LG 28 L Charcoal Convection Healthy Microwave Compact Oven(Mj2887Bium, Black, Healthy Heart Recipes, Diet Fry,Pasteurized Mil",4.2 out of 5 stars,"₹16,490.00",https://www.amazon.in/LG-Convection-Microwave-MJ2887BIUM-Rotisserie/dp/B0CQSYPFSQ/ref=zg_bs_g_1380072031_d_sccl_13/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
14,"IFB 20 L Convection Microwave Oven (20SC2, Metallic Silver, With Starter Kit), STANDARD",4.3 out of 5 stars,"₹9,990.00",https://www.amazon.in/IFB-Convection-Microwave-20SC2-Metallic/dp/B00A7PGI18/ref=zg_bs_g_1380072031_d_sccl_14/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
15,"LG 21 L Convection Microwave Oven (MC2146BV, Black, Auto Cook Menu, Defrost, Stainless Steel Cavity, Heathplus menu, Indian C",4.2 out of 5 stars,"₹10,790.00",https://www.amazon.in/LG-Convection-Microwave-MC2146BV-Black/dp/B06XK8RY1Q/ref=zg_bs_g_1380072031_d_sccl_15/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
16,"Samsung 21 L, Convection Microwave Oven (CE73JD-B1/XTL, Black, Various Cooking Modes, Pre heat, Eco Mode, Power Defrost, Auto",4.3 out of 5 stars,"₹10,299.00",https://www.amazon.in/Samsung-Convection-Microwave-CE73JD-B1-XTL/dp/B09XBLS8XY/ref=zg_bs_g_1380072031_d_sccl_16/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
17,"LG 20 L Grill Microwave Oven (MH2044DB, Black, Quartz Heater, I-Wave Technology, Indian Cuisine, Auto Cook Menu, Steam Clean,",4.2 out of 5 stars,"₹7,790.00",https://www.amazon.in/LG-Grill-Microwave-MH2044DB-Black/dp/B00R5QNW8E/ref=zg_bs_g_1380072031_d_sccl_17/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
18,"LG 28 L Convection Microwave Oven (MC2886BRUM, Black)",4.3 out of 5 stars,"₹15,490.00",https://www.amazon.in/LG-Convection-Microwave-MC2886BRUM-Black/dp/B01LF927AU/ref=zg_bs_g_1380072031_d_sccl_18/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
19,"Samsung 32L, Slim Fry, Convection Microwave Oven with Tandoor and Curd making(MC32A7035CT/TL, Stainless Steel, 10 Yr warranty",4.4 out of 5 stars,"₹16,990.00",https://www.amazon.in/Samsung-Convection-Microwave-MC32A7035CT-TL/dp/B09RB1DDZ2/ref=zg_bs_g_1380072031_d_sccl_19/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
20,"IFB 30 L Convection Microwave Oven (30SC4, Metallic Silver), STANDARD",4.3 out of 5 stars,"₹12,990.00",https://www.amazon.in/IFB-Convection-Microwave-30SC4-Metallic/dp/B00OLUNDTK/ref=zg_bs_g_1380072031_d_sccl_20/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
21,"LG 28 L Scan to Cook Wi-Fi Enabled Charcoal Convection Microwave Oven (MJEN286VIW, Black, Stainless steel cavity, Heart Frien",3.8 out of 5 stars,"₹18,990.00",https://www.amazon.in/LG-Convection-Microwave-MJEN286VIW-Rotisserie/dp/B0CNXY8JLG/ref=zg_bs_g_1380072031_d_sccl_21/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
22,"Samsung 28L Multi Spit, Convection Microwave Oven (MC28A6035QS/TL, Silver, Various Cooking Modes, Eco Mode, Hotblast, Crusty",4.4 out of 5 stars,"₹16,490.00",https://www.amazon.in/Samsung-Convection-Microwave-MC28A6035QS-TL/dp/B0BKKPRMM6/ref=zg_bs_g_1380072031_d_sccl_22/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
23,"LG 32 L Convection Microwave Oven (MC3286BRUM, Black)",4.3 out of 5 stars,"₹17,490.00",https://www.amazon.in/LG-Convection-Microwave-MC3286BRUM-Black/dp/B01LWE0QJK/ref=zg_bs_g_1380072031_d_sccl_23/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
24,"Panasonic 20L Grill Microwave Oven(NN-GT221WFDG,White, 38 Auto Cook Menus )",4.3 out of 5 stars,"₹7,690.00",https://www.amazon.in/Panasonic-Grill-Microwave-NN-GT221WF-White/dp/B00KPSSR20/ref=zg_bs_g_1380072031_d_sccl_24/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
25,"Godrej 20 L Multi Distribution System for Even and Faster Cooking, Solo Microwave Oven With 5 Power Levels (GMX 20SA2, Black)",4.3 out of 5 stars,"₹5,790.00",https://www.amazon.in/Godrej-Microwave-GMX-20SA2-Black/dp/B01MF8590A/ref=zg_bs_g_1380072031_d_sccl_25/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
26,"LG 32 L Scan to Cook Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN326UIW, Black - Regal Pattern, Heart Frien",4.1 out of 5 stars,"₹23,990.00",https://www.amazon.in/LG-Charcoal-Convection-Microwave-MJEN326UIW/dp/B0CQSZG9Y5/ref=zg_bs_g_1380072031_d_sccl_26/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
27,"Haier 22L Convection Microwave Oven with KIDS Special Recipes (HIL2201CSSH,Silver)",4.0 out of 5 stars,"₹9,290.00",https://www.amazon.in/Haier-Convection-Microwave-Special-HIL2201CSSH/dp/B0DR85K47K/ref=zg_bs_g_1380072031_d_sccl_27/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
28,"Godrej 23 L Convection Microwave Oven With Stainless Steel Cavity, Digital Display and 205 Instacook Receipes (GME 523 CF1 RM",4.2 out of 5 stars,"₹10,090.00",https://www.amazon.in/Godrej-GME-523-Plain-Elec/dp/B07RY7Q5YV/ref=zg_bs_g_1380072031_d_sccl_28/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
29,"Pigeon 20L Nano Wave Solo Microwave Oven | 700 Watts | 5 power levels (Re-Heat, Pop, Cook, Steam, Defrost - SKSMWO20L) | Blac",3.6 out of 5 stars,"₹4,790.00",https://www.amazon.in/Pigeon-Microwave-levels-Re-Heat-Defrost/dp/B0DK3X4CSH/ref=zg_bs_g_1380072031_d_sccl_29/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
30,"Haier 30L Convection Microwave Oven (HIL3001ARSB, Black) with In-Built Air Fryer | Motorized Rotisserie | Stainless-steel Cav",4.1 out of 5 stars,"₹16,990.00",https://www.amazon.in/Haier-Convection-HIL3001ARSB-Rotisserie-Stainless-steel/dp/B0DDTK796S/ref=zg_bs_g_1380072031_d_sccl_30/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
31,"IFB 30 L Convection Microwave Oven (30FRC2, Floral Pattern) (Black), STANDARD",4.3 out of 5 stars,"₹15,252.00",https://www.amazon.in/IFB-Convection-Microwave-30FRC2-Pattern/dp/B016XZP3DY/ref=zg_bs_g_1380072031_d_sccl_31/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
32,"IFB 20 L Grill Microwave Oven (20PG4S, Black/Silver)",4.2 out of 5 stars,"₹7,990.00",https://www.amazon.in/IFB-Grill-Microwave-20PG4S-Silver/dp/B015AAV3PA/ref=zg_bs_g_1380072031_d_sccl_32/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
33,"Voltas Beko, A Tata Product 20L, 700W smart solo Microwave oven (MS20MPW10, White | with Anti bacterial Inner Cavity and Larg",4.2 out of 5 stars,"₹5,490.00",https://www.amazon.in/Voltas-Beko-MS20MPW10-700W-Microwave/dp/B09BKZCSXP/ref=zg_bs_g_1380072031_d_sccl_33/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
34,"IFB 20 Litre Solo Microwave Oven (20PM-MEC2B, Mechanical Knob,Black)",4.2 out of 5 stars,"₹6,090.00",https://www.amazon.in/IFB-Litre-Microwave-20PM-MEC2B-Mechanical/dp/B09SF79M6Q/ref=zg_bs_g_1380072031_d_sccl_34/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
35,"Godrej 25 L Solo Microwave Oven (GMX 725 SP1 TM Mirror, Multi distribution heat system), Black",4.1 out of 5 stars,N/A,https://www.amazon.in/Godrej-Microwave-Mirror-distribution-system/dp/B09PNL6G9J/ref=zg_bs_g_1380072031_d_sccl_35/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
36,"Haier 20L Grill Microwave Oven (HIL2002GSPB, Quartz Heater, Combination cooking, Curveceous Glass, Steam Clean)",5.0 out of 5 stars,"₹6,790.00",https://www.amazon.in/Haier-Microwave-HIL2002GSPB-Combination-Curveceous/dp/B0DTJ1W6Z3/ref=zg_bs_g_1380072031_d_sccl_36/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
37,"Candy 19 L Inverter Technology with 5 Power Levels Solo Microwave Oven and Defrost (CSM192B, Black)",4.2 out of 5 stars,"₹4,490.00",https://www.amazon.in/Candy-Inverter-Technology-Microwave-CSM192B/dp/B0DZ6BTWGV/ref=zg_bs_g_1380072031_d_sccl_37/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
38,Stylista Microwave Oven Cover for LG 28 L Convection MC2846BV Symmetric Pattern Blue,4.3 out of 5 stars,₹303.00,https://www.amazon.in/Stylista-Microwave-Convection-MC2846BV-Symmetric/dp/B08RDW888K/ref=zg_bs_g_1380072031_d_sccl_38/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
39,"Godrej 30 L Convection Microwave Oven With Rotisserie, Stainless Steel Cavity, Dual Grill Technology and 375 Instacook Menus",4.2 out of 5 stars,"₹12,690.00",https://www.amazon.in/Godrej-Convection-GME-530-CR1/dp/B0DF7CXS4Q/ref=zg_bs_g_1380072031_d_sccl_39/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
40,IFB 20 Litre Solo Microwave Oven (20PM-MEC2) White,4.4 out of 5 stars,"₹5,820.00",https://www.amazon.in/IFB-Litre-Microwave-20PM-MEC2-White/dp/B09HMGHFB6/ref=zg_bs_g_1380072031_d_sccl_40/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
41,"IFB 28 L Convection Microwave Oven (28BC5, Black)",4.2 out of 5 stars,"₹13,307.00",https://www.amazon.in/IFB-Convection-Microwave-28BC5-Starter/dp/B0BXCV98YL/ref=zg_bs_g_1380072031_d_sccl_41/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
42,"Haier 22L Convection Microwave Oven, 205 Auto cook Menus, 10 Power Levels, 4 Combination Cooking, Multistage Cooking, Auto De",4.2 out of 5 stars,"₹11,502.70",https://www.amazon.in/Haier-Convection-Microwave-HIL22ECCFSD-Pattern/dp/B0BR5QFTF4/ref=zg_bs_g_1380072031_d_sccl_42/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
43,Faber Instacook20_S Standalone 20L Microwave Oven |700W|6 Auto Cook Menu | Knob Control | Reheat & Defrost | Glass Turntable,4.4 out of 5 stars,"₹6,179.00",https://www.amazon.in/Faber-Instacook20_S-Standalone-Microwave-Turntable/dp/B0CVRYT8JT/ref=zg_bs_g_1380072031_d_sccl_43/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
44,"IFB 23 L Convection Microwave Oven (23BC4, Black+Floral Design)",4.3 out of 5 stars,"₹12,260.00",https://www.amazon.in/IFB-Convection-Microwave-23BC4-Floral/dp/B00OLHQJD0/ref=zg_bs_g_1380072031_d_sccl_44/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
45,Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),3.9 out of 5 stars,N/A,https://www.amazon.in/Whirlpool-MAGICOOK-PRO-20SE-BLACK/dp/B07YWYGJYD/ref=zg_bs_g_1380072031_d_sccl_45/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
46,"The Furnishing Tree OTG cover Suitable for Crompton 45 Liters OTG Tandoori Magic, Dustproof, Stain-Resistant, Cover Size WxDx",N/A,₹329.00,https://www.amazon.in/Furnishing-Tree-Tandoori-Magic-Stain-Resistant/dp/B0FK3JR9DK/ref=zg_bs_g_1380072031_d_sccl_46/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
47,Stylista Microwave Oven Cover for Panasonic 20 L Convection NN-CT265MFDG Floral Pattern Beige,4.3 out of 5 stars,₹281.00,https://www.amazon.in/Stylista-Microwave-Panasonic-Convection-NN-CT265MFDG/dp/B08HQCN13G/ref=zg_bs_g_1380072031_d_sccl_47/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
48,"Samsung 32 L Convection Microwave Oven (MC32B7382QC/TL, Black)",3.9 out of 5 stars,"₹29,990.00",https://www.amazon.in/Samsung-Convection-Microwave-MC32B7382QC-TL/dp/B0BF5JQJL3/ref=zg_bs_g_1380072031_d_sccl_48/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
49,"IFB 36BRC2 Rotisserie Convection Microwave Oven, 36L, 1000W, 125 Auto Cook Menus, Black",N/A,"₹21,090.00",https://www.amazon.in/IFB-36BRC2-Rotisserie-Convection-Microwave/dp/B0DYVJ5G73/ref=zg_bs_g_1380072031_d_sccl_49/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
50,"Bajaj 17L Solo Microwave Oven (1702 MT, White), Timer",4.4 out of 5 stars,N/A,https://www.amazon.in/Bajaj-Solo-Microwave-Oven-White/dp/B0C2Q47RP4/ref=zg_bs_g_1380072031_d_sccl_50/260-2371597-5479023?psc=1,2025-08-05 21:08:42,2025-08-05 21:08:42
51,"Faber 20L Built-In Black Finish Microwave Oven with Touch Control | Auto Cook Menus & Auto Power Off Protection | Grill, Conv",4.6 out of 5 stars,"₹30,920.00",https://www.amazon.in/Faber-Microwave-Protection-Convection-Combination/dp/B0C1NB7WM6/ref=zg_bs_g_1380072031_d_sccl_1/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
52,"IFB 30 L Convection Microwave Oven with Oil Free Cooking (30BC5, Black, With Starter Kit)",4.2 out of 5 stars,"₹13,750.00",https://www.amazon.in/IFB-Convection-Microwave-30BC5-IFBJ0/dp/B08NQJVWGQ/ref=zg_bs_g_1380072031_d_sccl_2/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
53,"LG 32 L Convection Healthy Microwave Oven (MC3286BLU, Black, Diet Fry & Motorized Rotisserie)",4.3 out of 5 stars,"₹16,400.00",https://www.amazon.in/LG-Convection-Microwave-MC3286BLU-Rotisserie/dp/B0CF5PPMCW/ref=zg_bs_g_1380072031_d_sccl_3/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
54,"Samsung 32 L Convection Microwave Oven (MC32A7056CK/TL, Black, Slimfry)",4.1 out of 5 stars,"₹22,450.00",https://www.amazon.in/Samsung-Convection-Microwave-MC32A7056CK-TL/dp/B0B77BNN3T/ref=zg_bs_g_1380072031_d_sccl_4/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
55,Glassiano Floral Brown Printed Microwave Oven Cover for Bajaj MTBX 2016 20 Litre Grill Microwave Oven Black,4.1 out of 5 stars,₹299.00,https://www.amazon.in/Glassiano-Microwave-Bajaj-20-Litre/dp/B07BJ79VHC/ref=zg_bs_g_1380072031_d_sccl_5/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
56,NEWACT Microwave Oven Cover for Kitchen Decor Durable Dustproof Design with 4 Side Pockets for Kitchen Accessories - Grey,3.0 out of 5 stars,₹239.00,https://www.amazon.in/NEWACT-Microwave-Kitchen-Dustproof-Accessories/dp/B0FFHNMCH1/ref=zg_bs_g_1380072031_d_sccl_6/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
57,"Samsung 28 L Slim Fry, Sensor Cook and Multi Split Convection Microwave Oven (MC28A5145VR/TL, Black and Pattern, 10 Yr warran",4.3 out of 5 stars,N/A,https://www.amazon.in/Samsung-Convection-Microwave-MC28A5145VR-TL/dp/B0CGLPBN7C/ref=zg_bs_g_1380072031_d_sccl_7/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
58,"Samsung 28 L Convection Microwave Oven with Moisture Sensor (MC28A5145VK/TL, Black, SlimFry)",4.4 out of 5 stars,"₹17,790.00",https://www.amazon.in/Samsung-Convection-Microwave-MC28A5145VK-TL/dp/B09D9QZLZJ/ref=zg_bs_g_1380072031_d_sccl_8/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
59,"IFB 25 L Convection Microwave Oven (25BC4, Black +Floral Design)",4.2 out of 5 stars,"₹13,890.00",https://www.amazon.in/IFB-Convection-Microwave-25BC4-Floral/dp/B00PRO3CI6/ref=zg_bs_g_1380072031_d_sccl_9/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
60,"Kaff KMW 5PJ Built-in Microwave Oven for Kitchen, 20 Litre with Child Lock, Digital Clock & Time Display | Microwave, Grill,",3.8 out of 5 stars,"₹28,390.00",https://www.amazon.in/Microwave-Combination-Programming-KMW-5PJ/dp/B077D94Q68/ref=zg_bs_g_1380072031_d_sccl_10/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
61,Nitasha Microwave Oven Cover for?Morphy Richards 20 Liter Solo Microwave Oven 20 MS,N/A,₹349.00,https://www.amazon.in/Nitasha-Microwave-Cover-Morphy-Richards/dp/B08QNK48VP/ref=zg_bs_g_1380072031_d_sccl_11/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
62,"LG 28 L Convection Microwave Oven (MC2846BG, Black)",4.4 out of 5 stars,"₹17,499.00",https://www.amazon.in/LG-Convection-Microwave-MC2846BG-Starter/dp/B07MC84GZH/ref=zg_bs_g_1380072031_d_sccl_12/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
63,"Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)",4.3 out of 5 stars,"₹6,340.00",https://www.amazon.in/Haier-Solo-Microwave-HIL2001MFPH-Black/dp/B01NC3A1X4/ref=zg_bs_g_1380072031_d_sccl_13/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
64,"Samsung 28L, Convection Microwave Oven (CE1041DSB3/TL, Black)",4.3 out of 5 stars,N/A,https://www.amazon.in/Samsung-Convection-Microwave-CE1041DSB3-TL/dp/B09VH1Q7CM/ref=zg_bs_g_1380072031_d_sccl_14/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
65,IFB 30BRC4 Convection Microwave 30 L,N/A,"₹16,900.00",https://www.amazon.in/IFB-30BRC4-Convection-Microwave-30/dp/B0F792XL8X/ref=zg_bs_g_1380072031_d_sccl_15/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
66,"IFB 20 L Convection Microwave Oven (20BC4, Black)",4.3 out of 5 stars,"₹11,150.00",https://www.amazon.in/IFB-20BC4-1200-Watt-Convection-Microwave/dp/B00OLP0GKY/ref=zg_bs_g_1380072031_d_sccl_16/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
67,"Bajaj MTBX 2016 20L Grill Microwave Oven, Black",4.3 out of 5 stars,N/A,https://www.amazon.in/Bajaj-Grill-Microwave-MTBX-2016/dp/B072KZ373J/ref=zg_bs_g_1380072031_d_sccl_17/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
68,"The Furnishing Tree OTG cover Suitable for Morphy Richards 60 Liters OTG 60RCSS, Dustproof, Stain-Resistant, Cover Size WxDxH",N/A,₹329.00,https://www.amazon.in/Furnishing-Tree-60RCSS-Dustproof-Stain-Resistant/dp/B0FK3GN8JF/ref=zg_bs_g_1380072031_d_sccl_18/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
69,Stylista Microwave Oven Cover for Samsung 28 L Convection MC28H5145VK/TL Floral Pattern Black,N/A,₹349.00,https://www.amazon.in/Stylista-Microwave-Samsung-Convection-MC28H5145VK/dp/B09BB5BBLS/ref=zg_bs_g_1380072031_d_sccl_19/260-2371597-5479023?psc=1,2025-08-05 21:08:47,2025-08-05 21:08:47
