Rank,TV Name,Rating,Price,Product Link,Start Time,End Time
1,Samsung 80 cm (32 inches) HD Smart LED TV UA32H4550FUXXL,4.0 out of 5 stars,"₹11,990.00",https://www.amazon.in/Samsung-inches-Smart-LED-UA32H4550FUXXL/dp/B0F84FBWQM/ref=zg_bs_g_1389396031_d_sccl_1/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
2,Redmi Xiaomi 80 cm (32 inches) F Series HD Ready Smart LED Fire TV L32MA-FVIN (Black),4.1 out of 5 stars,"₹10,499.00",https://www.amazon.in/Redmi-inches-Ready-Smart-L32MA-FVIN/dp/B0D4LJ9WVW/ref=zg_bs_g_1389396031_d_sccl_2/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
3,Redmi Xiaomi 108 cm (43 inch) F Series Ultra HD 4K LED Smart Fire TV L43MA-FVIN,4.1 out of 5 stars,"₹20,499.00",https://www.amazon.in/Redmi-Xiaomi-Ultra-Smart-L43MA-FVIN/dp/B0DV8WXDNX/ref=zg_bs_g_1389396031_d_sccl_3/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
4,LG 80 cms (32 inches) LR570 Series Smart webOS LED TV 32LR570B6LA,4.2 out of 5 stars,"₹13,490.00",https://www.amazon.in/LG-inches-LR570-Smart-32LR570B6LA/dp/B0DY7FPFLH/ref=zg_bs_g_1389396031_d_sccl_4/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
5,VW 80 cm (32 inches) Frameless Series HD Ready Android Smart LED TV VW32S,3.8 out of 5 stars,"₹7,299.00",https://www.amazon.in/Visio-World-inches-VW32S-Ready/dp/B07MNNH484/ref=zg_bs_g_1389396031_d_sccl_5/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
6,acer 80 cm (32 inches) G Plus Series HD Ready LED Smart Google TV AR32HDGGR2841AD,4.0 out of 5 stars,"₹9,999.00",https://www.amazon.in/inches-Ready-Smart-Google-AR32HDGGR2841AD/dp/B0DKNM4GPM/ref=zg_bs_g_1389396031_d_sccl_6/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
7,acer 109 cm (43 inches) G Plus Series 4K Ultra HD LED Smart Google TV AR43UDGGR2851AD,4.0 out of 5 stars,"₹19,999.00",https://www.amazon.in/inches-Ultra-Smart-Google-AR43UDGGR2851AD/dp/B0DKNL8CHP/ref=zg_bs_g_1389396031_d_sccl_7/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
8,VW 109 cm (43 inches) Pro Series 4K Ultra HD Smart QLED Google TV VW43GQ1,4.5 out of 5 stars,"₹18,999.00",https://www.amazon.in/VW-inches-Ultra-Google-VW43GQ1/dp/B0DRV6WTZY/ref=zg_bs_g_1389396031_d_sccl_8/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
9,LG 139 cm (55 inches) UA82 Series 4K Ultra HD (3840 x 2160) Smart webOS LED TV 55UA82006LA,4.0 out of 5 stars,"₹40,990.00",https://www.amazon.in/LG-inches-Ultra-Smart-55UA82006LA/dp/B0F8343CVL/ref=zg_bs_g_1389396031_d_sccl_9/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
10,LG 108 cm (43 inches) UA82 Series 4K Ultra HD Smart webOS LED TV 43UA82006LA,4.0 out of 5 stars,"₹30,990.00",https://www.amazon.in/LG-inches-Ultra-Smart-43UA82006LA/dp/B0F835K3HL/ref=zg_bs_g_1389396031_d_sccl_10/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
11,VW 80 cm (32 inches) Pro Series HD Ready Smart QLED Google TV VW32GQ1,4.5 out of 5 stars,"₹9,499.00",https://www.amazon.in/VW-inches-Ready-Google-VW32GQ1/dp/B0DR2Q2R44/ref=zg_bs_g_1389396031_d_sccl_11/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
12,Xiaomi MI Smart TV A 80 cm (32) HD Ready Smart Google LED TV L32MA-AIN (Black),4.1 out of 5 stars,"₹11,999.00",https://www.amazon.in/Xiaomi-Smart-Ready-Google-L32MA-AIN/dp/B0D25MMHH2/ref=zg_bs_g_1389396031_d_sccl_12/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
13,Samsung 138 cm (55 inches) Vision AI 4K Ultra HD Smart QLED TV QA55QEF1AULXL,3.9 out of 5 stars,"₹49,990.00",https://www.amazon.in/Samsung-inches-Vision-Ultra-QA55QEF1AULXL/dp/B0F43CHDSN/ref=zg_bs_g_1389396031_d_sccl_13/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
14,Sony 139 cm (55 inches) BRAVIA 2 4K Ultra HD Smart LED Google TV K-55S25B (Black),4.8 out of 5 stars,"₹54,990.00",https://www.amazon.in/Sony-inches-BRAVIA-Google-K-55S25B/dp/B0D3DWFY54/ref=zg_bs_g_1389396031_d_sccl_14/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
15,LG 80 cms (32 inches) LR600 Series Smart webOS IPS LED TV 32LR600B6LC,4.2 out of 5 stars,"₹14,490.00",https://www.amazon.in/LG-inches-LR600-Smart-32LR600B6LC/dp/B0DVGBNVM2/ref=zg_bs_g_1389396031_d_sccl_15/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
16,Samsung 108 cm (43 inches) Crystal 4K Vista Ultra HD Smart LED TV UA43UE81AFULXL,4.0 out of 5 stars,"₹28,990.00",https://www.amazon.in/Samsung-inches-Crystal-Vista-UA43UE81AFULXL/dp/B0F43DMKDJ/ref=zg_bs_g_1389396031_d_sccl_16/258-5014627-7280254?psc=1,2025-08-05 21:07:52,2025-08-05 21:07:52
