Rank,Washing Machine Name,Rating,Price,Product Link,Start Time,End Time
1,"LG 9 Kg, 5 Star, AI Direct Drive Technology, Steam, 6 Motion DD & Wi-Fi Fully-Automatic Front Load Washing Machine (FHP1209Z5",4.2 out of 5 stars,"₹38,990.00",https://www.amazon.in/LG-Inverter-Fully-Automatic-Washing-FHP1209Z5M/dp/B0C3LHV43S/ref=zg_bs_g_1380373031_d_sccl_1/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
2,Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey (MAGIC CLEAN 7.0 GENX GREY 5YMW),4.0 out of 5 stars,"₹14,490.00",https://www.amazon.in/Whirlpool-MAGIC-CLEAN-7-0-GENX/dp/B0DSBRDRDV/ref=zg_bs_g_1380373031_d_sccl_2/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
3,"Samsung 8 kg, 5 star, Eco Bubble Tech, Digital Inverter Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (W",4.1 out of 5 stars,"₹19,490.00",https://www.amazon.in/Samsung-Fully-Automatic-Ecobubble-WA80BG4441BGTL-Technology/dp/B0B8NK5HTH/ref=zg_bs_g_1380373031_d_sccl_3/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
4,"LG 8 Kg 5 Star Smart Inverter Technology Fully Automatic Top Load Washing Machine (T80VBMB4Z, Turbodrum, Auto Prewash, Stainl",4.1 out of 5 stars,"₹19,490.00",https://www.amazon.in/LG-Technology-Automatic-T80VBMB4Z-Turbodrum/dp/B0DPHTSTYJ/ref=zg_bs_g_1380373031_d_sccl_4/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
5,"Samsung 7 kg, Eco Bubble Technology, Digital Inverter Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA7",4.1 out of 5 stars,"₹17,489.00",https://www.amazon.in/Samsung-Inverter-Fully-Automatic-WA70BG4441YYTL-Technology/dp/B0B8NHX62W/ref=zg_bs_g_1380373031_d_sccl_5/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
6,"LG 7 Kg 5 Star Smart Inverter Technology Fully Automatic Top Load Washing Machine (T70VBMB1Z, Auto Prewash, Turbodrum, Stainl",4.2 out of 5 stars,"₹17,490.00",https://www.amazon.in/LG-Technology-Automatic-T70VBMB1Z-Turbodrum/dp/B0DPHT2HZL/ref=zg_bs_g_1380373031_d_sccl_6/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
7,Whirlpool 8 Kg 5 MAGIC CLEAN PRO SW H Fully Automatic Top Load Washing Machine (MAGIC CLEAN PRO SW H KG GREY 10YMW with In-Bu,3.9 out of 5 stars,"₹17,990.00",https://www.amazon.in/Whirlpool-Fully-Automatic-Washing-Machine/dp/B0DGLPJ1MB/ref=zg_bs_g_1380373031_d_sccl_7/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
8,"Welko Portable Mini Washing Machine, Foldable Washing Machine Top Load Fully Automatic with 3 Modes Spinner and Dryer, Semi A",3.9 out of 5 stars,"₹1,699.00",https://www.amazon.in/Welko-Portable-Washing-Foldable-Automatic/dp/B0FGQG9FKJ/ref=zg_bs_g_1380373031_d_sccl_8/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
9,"IFB 7 Kg 5 Star Powered by AI with 9 Swirl Wash, WiFi, Fully Automatic Front Load Washing Machine (SERENA GXN 7012, Steam Ref",4.0 out of 5 stars,"₹27,990.00",https://www.amazon.in/IFB-Automatic-SERENA-GXN-7012/dp/B0DFLL8FND/ref=zg_bs_g_1380373031_d_sccl_9/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
10,Bosch 9kg 5 Star Anti Stain & AI Active Water Plus Fully Automatic Front Load Washing Machine with Built in Heater (WGA14200I,4.0 out of 5 stars,"₹35,990.00",https://www.amazon.in/Bosch-Automatic-WGA14200IN-Pretreatment-Bacteria/dp/B0D41L64NR/ref=zg_bs_g_1380373031_d_sccl_10/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
